Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Black Stork,Ciconia nigra,WinterMigrant,Least Concern,Moderate,Moderate,Ciconiiformes,Ciconiidae,Not endemic
Black Kite,Milvus migrans,Resident,Least Concern,Large,Low,Accipitriformes,Accipitridae,Not endemic
Black Eagle,Ictinaetus malaiensis,Resident,Least Concern,Large,Low,Accipitriformes,Accipitridae,Not endemic
Black Drongo,Dicrurus macrocercus,Resident,Least Concern,Very Large,Low,Passeriformes,Dicruridae,Not endemic
Black Bittern,Ixobrychus flavicollis,Resident,Least Concern,Moderate,Moderate,Pelecaniformes,Ardeidae,Not endemic
Black Baza,Aviceda leuphotes,WinterMigrant,Least Concern,Restricted,Moderate,Accipitriformes,Accipitridae,Not endemic
Besra,Accipiter virgatus,Resident,Least Concern,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
Bay-backed Shrike,Lanius vittatus,Resident,Least Concern,Very Large,Moderate,Passeriformes,Laniidae,Not endemic
Baya Weaver,Ploceus philippinus,Resident,Least Concern,Very Large,Low,Passeriformes,Ploceidae,Not endemic
Bar-winged Flycatcher-shrike,Hemipus picatus,Resident,Least Concern,Large,Moderate,Passeriformes,Vangidae,Not endemic
Bar-tailed Godwit,Limosa lapponica,WinterMigrant,Near Threatened,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Barred Buttonquail,Turnix suscitator,Resident,Least Concern,Large,Low,Charadriiformes,Turnicidae,Not endemic
Barn Swallow,Hirundo rustica,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Hirundinidae,Not endemic
Banded Bay Cuckoo,Cacomantis sonneratii,Resident,Least Concern,Large,Moderate,Cuculiformes,Cuculidae,Not endemic
Banasura Laughingthrush,Montecincla jerdoni,Resident,Endangered,Very Restricted,High,Passeriformes,Leiothrichidae,Western Ghats
Asian Palm-Swift,Cypsiurus balasiensis,Resident,Least Concern,Very Large,Low,Caprimulgiformes,Apodidae,Not endemic
Asian Openbill,Anastomus oscitans,Resident,Least Concern,Very Large,Low,Ciconiiformes,Ciconiidae,Not endemic
Asian Koel,Eudynamys scolopaceus,Resident,Least Concern,Very Large,Low,Cuculiformes,Cuculidae,Not endemic
Asian Fairy-bluebird,Irena puella,Resident,Least Concern,Moderate,Moderate,Passeriformes,Irenidae,Not endemic
Asian Emerald Dove,Chalcophaps indica,Resident,Least Concern,Large,Low,Columbiformes,Columbidae,Not endemic
Asian Brown Flycatcher,Muscicapa dauurica,WinterMigrant,Least Concern,Moderate,Moderate,Passeriformes,Muscicapidae,Not endemic
White-browed Bulbul,Pycnonotus luteolus,Resident,Least Concern,Large,Low,Passeriformes,Pycnonotidae,Not endemic
Ashy Woodswallow,Artamus fuscus,Resident,Least Concern,Large,Moderate,Passeriformes,Artamidae,Not endemic
White-rumped Needletail,Zoonavena sylvatica,Resident,Least Concern,Moderate,Moderate,Caprimulgiformes,Apodidae,Not endemic
Ashy Drongo,Dicrurus leucophaeus,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Dicruridae,Not endemic
Ashambu Laughingthrush,Montecincla meridionalis,Resident,Vulnerable,Very Restricted,High,Passeriformes,Leiothrichidae,Western Ghats
Rufous Babbler,Turdoides subrufa,Resident,Least Concern,Moderate,Moderate,Passeriformes,Leiothrichidae,Western Ghats
Yellow-billed Babbler,Turdoides affinis,Resident,Least Concern,Large,Low,Passeriformes,Leiothrichidae,Not endemic
Yellow-browed Bulbul,Iole indica,Resident,Least Concern,Moderate,Moderate,Passeriformes,Pycnonotidae,Western Ghats
Yellow-wattled Lapwing,Vanellus malabaricus,Resident,Least Concern,Very Large,Moderate,Charadriiformes,Charadriidae,Not endemic
